"status","bed","bath","acre_lot","city","state","zip_code","house_size","price"
"for_sale",3.70101265822784,2.49459473852367,9.8,"Pelham","New Hampshire",3076,1487,499900
"for_sale",3,2,0.27,"Leominster","Massachusetts",1453,1187,389900
"for_sale",5,4,100,"Holden","Massachusetts",1520,3338,529900
"for_sale",6,4,0.33,"Holden","Massachusetts",1522,1802,579000
"for_sale",3,2,0.33,"Leominster","Massachusetts",1453,1434,369000
"for_sale",4,4,0.77,"Leominster","Massachusetts",1453,3577,579000
"for_sale",3,2,0.24,"Leominster","Massachusetts",1453,2292,384900
"for_sale",8,3,0.19,"Leominster","Massachusetts",1453,3595,495000
"for_sale",3,2,0.25,"Leominster","Massachusetts",1453,1464,363000
"for_sale",4,3,0.34,"Leominster","Massachusetts",1453,3035,524900
"for_sale",2,2,13.613473315734,"Leominster","Massachusetts",1453,1376,329900
"for_sale",3,2,0.31,"Leominster","Massachusetts",1453,1530,399900
"for_sale",2,2,13.613473315734,"Leominster","Massachusetts",1453,1140,259900
"for_sale",3,2,0.25,"Weston","Massachusetts",2493,1176,745000
"for_sale",2,2,0.11,"Worcester","Massachusetts",1606,1176,209900
"for_sale",3,2,1.06,"Pepperell","Massachusetts",1463,2261,449000
"for_sale",3.70101265822784,2.49459473852367,2.03,"Pepperell","Massachusetts",1463,2180.08173730064,115000
"for_sale",4,2,0.51,"Pepperell","Massachusetts",1463,2126,525000
"for_sale",4,3,13.613473315734,"Pepperell","Massachusetts",1463,2210,625000
"for_sale",3,2,0.35,"Milford","New Hampshire",3055,1924,399000
"for_sale",3,1,0.27,"Clinton","Massachusetts",1510,1377,320000
"for_sale",2,2,13.613473315734,"Stow","Massachusetts",1775,949,334000
"for_sale",2,1,13.613473315734,"Marlborough","Massachusetts",1752,835,219900
"for_sale",3,4,13.613473315734,"Clinton","Massachusetts",1510,3166,619900
"for_sale",4,2,1.79,"Boxborough","Massachusetts",1719,2018,625000
